¿Con que sentido percibimos los sabores?,Gusto,Vista,Olfato,Tacto
Complete la siguiente oración: El sol es una _____ muy grande.,Estrella,Galaxia,Luz,Constelación
"La gallina pone huevos, entonces es un animal:",Ovíparo,Ave,Majestuoso,Vivparo
"Si un animal como plantas, entonces es:",Herbívoro,Carnívoro,Omnívoro,Vegano
El perro es un animal:,Mamífero,Ovíparo,Omnívoro,Herbívoro
¿Cuál de los siguientes es uno de los cinco sentidos del cuerpo humano? ,Lnegua,Gusto,Ojo,Oido 
¿Cómo se llaman los animales que no tienen esqueleto?,Esqueleto ,Vertebrados,Sin huesos,Invertebrados 
¿Que aparato se utiliza para digerir los alimentos?,Digestivo ,Respiratorio ,Esofago ,Estomago 
¿En que estado se encuentra del agua se encuenta un cuno de hielo?,Solido ,Liquido ,Gaseoso,Duro 
"Según su forma de alimentarse, consideramos a los cerdos..",Omnívoros,Carnívoros,Herbívoros,Mamifero 
Qué tipo de animales son los murciélagos,Mamíferos,Aves,Reptiles,Anfibios
¿Cuántas patas tienen todos los arácnidos?,Tienen 6 patas,Tienen 8 patas,Tienen 10 patas,Tienen 7 patas
¿Rama de la ciencia que se encarga de estudiar a los seres vivos?,Química ,Biología ,Astrología ,Fisica 
¿Qué significa volver a utilizar un objeto que se iba a tirar a la basura?,Reciclar ,Reutilizar ,Reusar,Reducir 
¿Qué significa volver disminuir la cantidad de basura que hacemos?,Reciclar ,Reutilizar ,Reusar,Reducir 
